epoch	batch	iter	loss	acc	lr
1	1	1	tensor(1.2423, device='cuda:0')	tensor(0.2969, device='cuda:0')	0.01
1	2	2	tensor(0.7865, device='cuda:0')	tensor(0.6719, device='cuda:0')	0.01
1	3	3	tensor(1.0197, device='cuda:0')	tensor(0.5469, device='cuda:0')	0.01
1	4	4	tensor(1.3598, device='cuda:0')	tensor(0.5625, device='cuda:0')	0.01
1	5	5	tensor(1.9984, device='cuda:0')	tensor(0.4531, device='cuda:0')	0.01
1	6	6	tensor(1.6686, device='cuda:0')	tensor(0.5312, device='cuda:0')	0.01
1	7	7	tensor(1.2682, device='cuda:0')	tensor(0.6875, device='cuda:0')	0.01
1	8	8	tensor(1.3504, device='cuda:0')	tensor(0.7188, device='cuda:0')	0.01
1	9	9	tensor(1.8600, device='cuda:0')	tensor(0.6719, device='cuda:0')	0.01
1	10	10	tensor(1.3388, device='cuda:0')	tensor(0.6875, device='cuda:0')	0.01
1	11	11	tensor(1.9068, device='cuda:0')	tensor(0.5469, device='cuda:0')	0.01
1	12	12	tensor(1.0928, device='cuda:0')	tensor(0.7188, device='cuda:0')	0.01
1	13	13	tensor(1.1966, device='cuda:0')	tensor(0.5312, device='cuda:0')	0.01
1	14	14	tensor(1.8832, device='cuda:0')	tensor(0.5312, device='cuda:0')	0.01
1	15	15	tensor(1.6847, device='cuda:0')	tensor(0.5781, device='cuda:0')	0.01
1	16	16	tensor(1.5849, device='cuda:0')	tensor(0.6250, device='cuda:0')	0.01
1	17	17	tensor(1.1464, device='cuda:0')	tensor(0.7344, device='cuda:0')	0.01
1	18	18	tensor(1.1104, device='cuda:0')	tensor(0.7812, device='cuda:0')	0.01
1	19	19	tensor(1.4438, device='cuda:0')	tensor(0.6562, device='cuda:0')	0.01
1	20	20	tensor(1.1594, device='cuda:0')	tensor(0.6562, device='cuda:0')	0.01
1	21	21	tensor(0.8710, device='cuda:0')	tensor(0.6875, device='cuda:0')	0.01
1	22	22	tensor(0.9782, device='cuda:0')	tensor(0.6719, device='cuda:0')	0.01
1	23	23	tensor(0.7905, device='cuda:0')	tensor(0.7812, device='cuda:0')	0.01
1	24	24	tensor(1.1210, device='cuda:0')	tensor(0.6094, device='cuda:0')	0.01
1	25	25	tensor(0.8196, device='cuda:0')	tensor(0.7656, device='cuda:0')	0.01
1	26	26	tensor(1.0131, device='cuda:0')	tensor(0.6406, device='cuda:0')	0.01
1	27	27	tensor(0.7209, device='cuda:0')	tensor(0.7031, device='cuda:0')	0.01
1	28	28	tensor(0.6377, device='cuda:0')	tensor(0.7344, device='cuda:0')	0.01
1	29	29	tensor(0.5964, device='cuda:0')	tensor(0.7656, device='cuda:0')	0.01
1	30	30	tensor(0.6555, device='cuda:0')	tensor(0.6719, device='cuda:0')	0.01
1	31	31	tensor(0.5825, device='cuda:0')	tensor(0.7656, device='cuda:0')	0.01
1	32	32	tensor(0.5762, device='cuda:0')	tensor(0.7344, device='cuda:0')	0.01
1	33	33	tensor(0.4681, device='cuda:0')	tensor(0.8750, device='cuda:0')	0.01
1	34	34	tensor(0.5797, device='cuda:0')	tensor(0.7500, device='cuda:0')	0.01
1	35	35	tensor(0.5906, device='cuda:0')	tensor(0.7656, device='cuda:0')	0.01
1	36	36	tensor(0.5269, device='cuda:0')	tensor(0.8125, device='cuda:0')	0.01
1	37	37	tensor(0.5789, device='cuda:0')	tensor(0.7188, device='cuda:0')	0.01
1	38	38	tensor(0.6534, device='cuda:0')	tensor(0.7500, device='cuda:0')	0.01
1	39	39	tensor(0.5228, device='cuda:0')	tensor(0.7812, device='cuda:0')	0.01
1	40	40	tensor(0.7373, device='cuda:0')	tensor(0.6875, device='cuda:0')	0.01
1	41	41	tensor(0.5085, device='cuda:0')	tensor(0.7969, device='cuda:0')	0.01
1	42	42	tensor(0.7447, device='cuda:0')	tensor(0.6406, device='cuda:0')	0.01
